Aktifitas;"Nama Barang";Code;"Sum of BOX/MASUK";"Sum of KGS/MASUK";"Sum of BOX/KELUAR";"Sum of KGS/KELUAR"
stock;"SALMON FILLET PREMIUM";SLM01;10;8.5;;
stock;"SALMON STEAK CUT";SLM02;15;12.3;;
stock;"TUNA SASHIMI GRADE";TUN01;8;6.2;;
stock;"TUNA STEAK 200G";TUN02;12;9.8;;
stock;"MAHI MAHI FILLET";MHI01;20;15.4;;
stock;"RED SNAPPER WHOLE";RSP01;5;4.2;;
stock;"MACKEREL FRESH";MCK01;18;14.1;;
stock;"GROUPER FILLET";GRP01;7;5.8;;
stock;"BARRAMUNDI CUT";BAR01;14;11.2;;
stock;"POMFRET SILVER";PMF01;9;7.3;;
stock;"KINGFISH STEAK";KNG01;11;8.9;;
stock;"CORAL TROUT FRESH";CRL01;6;4.8;;
"HASIL PACKING";"SALMON FILLET PREMIUM";SLM01;5;4.2;;
"BONGKAR THERMO";"TUNA SASHIMI GRADE";TUN01;3;2.4;;
"DARI INTIMAS";"MAHI MAHI FILLET";MHI01;8;6.1;;
"HASIL PACKING";"RED SNAPPER WHOLE";RSP01;4;3.2;;
"BONGKAR THERMO";"MACKEREL FRESH";MCK01;6;4.7;;
"DARI INTIMAS";"BARRAMUNDI CUT";BAR01;10;8.0;;
"HASIL PACKING";"WAHOO FRESH CATCH";WHO01;7;5.6;;
"BONGKAR THERMO";"MARLIN BLUE STEAK";MRL01;4;3.1;;
"DARI INTIMAS";"DORY FILLET FRESH";DOR01;12;9.2;;
"HASIL PACKING";"SPANISH MACKEREL";SPM01;8;6.4;;
"BONGKAR THERMO";"COBIA PREMIUM";COB01;5;3.8;;
"DARI INTIMAS";"THREADFIN SALMON";THR01;9;7.1;;
"BB PACKING";"SALMON FILLET PREMIUM";SLM01;;;12;10.1
"BB PROSES";"SALMON STEAK CUT";SLM02;;;10;8.2
"KIRIM INTIMAS";"TUNA STEAK 200G";TUN02;;;8;6.5
"JUAL LOKAL";"MAHI MAHI FILLET";MHI01;;;15;11.8
MUAT;"MACKEREL FRESH";MCK01;;;20;15.6
"BB PACKING";"GROUPER FILLET";GRP01;;;6;4.9
"BB PROSES";"BARRAMUNDI CUT";BAR01;;;18;14.2
"KIRIM INTIMAS";"POMFRET SILVER";PMF01;;;7;5.6
"JUAL LOKAL";"KINGFISH STEAK";KNG01;;;9;7.2
MUAT;"WAHOO FRESH CATCH";WHO01;;;5;4.0
"BB PACKING";"DORY FILLET FRESH";DOR01;;;10;7.8
"BB PROSES";"SPANISH MACKEREL";SPM01;;;6;4.7
